starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 21:03:27 2023	1682903007	1	105	106	92
Sun Apr 30 21:03:27 2023	1682903007	1	109	110	97
Sun Apr 30 21:03:27 2023	1682903007	1	110	111	95
Sun Apr 30 21:03:27 2023	1682903007	0	114	114	98
Sun Apr 30 21:03:27 2023	1682903007	3	114	117	102
Sun Apr 30 21:03:27 2023	1682903007	1	122	123	107
Sun Apr 30 21:03:27 2023	1682903007	1	126	127	113
Sun Apr 30 21:03:27 2023	1682903007	2	128	130	118
Sun Apr 30 21:03:27 2023	1682903007	1	130	131	122
Sun Apr 30 21:03:27 2023	1682903007	1	131	132	124
Sun Apr 30 21:03:27 2023	1682903007	0	133	133	129
Sun Apr 30 21:03:27 2023	1682903007	1	132	133	127
Sun Apr 30 21:03:27 2023	1682903007	1	132	133	131
Sun Apr 30 21:03:27 2023	1682903007	0	137	137	110
Sun Apr 30 21:03:27 2023	1682903007	1	139	140	108
Sun Apr 30 21:03:27 2023	1682903007	1	140	141	8
Sun Apr 30 21:03:27 2023	1682903007	1	142	143	131
Sun Apr 30 21:03:27 2023	1682903007	2	149	151	141
Sun Apr 30 21:03:27 2023	1682903007	1	153	154	126
Sun Apr 30 21:03:27 2023	1682903007	2	157	159	128
Sun Apr 30 21:03:27 2023	1682903007	1	161	162	135
Sun Apr 30 21:03:27 2023	1682903007	1	162	163	151
Sun Apr 30 21:03:27 2023	1682903007	1	165	166	151
Sun Apr 30 21:03:27 2023	1682903007	1	169	170	152
Sun Apr 30 21:03:27 2023	1682903007	0	170	170	144
Sun Apr 30 21:03:27 2023	1682903007	0	172	172	157
Sun Apr 30 21:03:27 2023	1682903007	1	180	181	173
Sun Apr 30 21:03:27 2023	1682903007	1	190	191	182
Sun Apr 30 21:03:27 2023	1682903007	0	193	193	175
Sun Apr 30 21:03:27 2023	1682903007	1	219	220	202
Sun Apr 30 21:03:27 2023	1682903007	1	228	229	214
Sun Apr 30 21:03:27 2023	1682903007	1	232	233	197
Sun Apr 30 21:03:27 2023	1682903007	0	238	238	193
Sun Apr 30 21:03:27 2023	1682903007	0	240	240	222
Sun Apr 30 21:03:27 2023	1682903007	1	239	240	220
Sun Apr 30 21:03:27 2023	1682903007	1	240	241	219
Sun Apr 30 21:03:27 2023	1682903007	1	243	244	230
Sun Apr 30 21:03:27 2023	1682903007	1	247	248	222
Sun Apr 30 21:03:27 2023	1682903007	1	249	250	234
Sun Apr 30 21:03:27 2023	1682903007	0	250	250	229
Sun Apr 30 21:03:27 2023	1682903007	1	249	250	235
Sun Apr 30 21:03:27 2023	1682903007	0	261	261	245
Sun Apr 30 21:03:27 2023	1682903007	1	260	261	243
Sun Apr 30 21:03:27 2023	1682903007	1	264	265	242
Sun Apr 30 21:03:27 2023	1682903007	0	275	275	264
Sun Apr 30 21:03:27 2023	1682903007	1	275	275	250
Sun Apr 30 21:03:27 2023	1682903007	0	280	280	266
Sun Apr 30 21:03:27 2023	1682903007	1	279	280	260
Sun Apr 30 21:03:27 2023	1682903007	0	286	286	262
Sun Apr 30 21:03:27 2023	1682903007	0	288	288	276
Sun Apr 30 21:03:27 2023	1682903007	1	291	292	266
Sun Apr 30 21:03:27 2023	1682903007	1	301	302	289
