starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:38:04 2023	1682901484	3	3206	3209	211
Sun Apr 30 20:37:15 2023	1682901435	2	12861	12863	7
Sun Apr 30 20:37:15 2023	1682901435	1	12934	12935	832
Sun Apr 30 20:39:43 2023	1682901583	2	12936	12938	94
Sun Apr 30 20:39:43 2023	1682901583	1	13098	13099	104
Sun Apr 30 20:39:43 2023	1682901583	1	13208	13209	92
Sun Apr 30 20:39:42 2023	1682901582	2	13704	13706	101
Sun Apr 30 20:39:42 2023	1682901582	6	13793	13799	114
Sun Apr 30 20:39:42 2023	1682901582	6	13814	13820	125
Sun Apr 30 20:39:42 2023	1682901582	1	13830	13831	105
Sun Apr 30 20:39:42 2023	1682901582	2	13859	13861	86
Sun Apr 30 20:39:42 2023	1682901582	5	13903	13908	94
Sun Apr 30 20:39:42 2023	1682901582	2	13954	13956	126
Sun Apr 30 20:39:42 2023	1682901582	7	14008	14015	125
Sun Apr 30 20:39:42 2023	1682901582	3	14145	14148	115
Sun Apr 30 20:39:42 2023	1682901582	3	14148	14151	112
Sun Apr 30 20:39:42 2023	1682901582	2	14159	14161	130
Sun Apr 30 20:39:42 2023	1682901582	3	14209	14212	137
Sun Apr 30 20:39:42 2023	1682901582	3	14242	14245	89
Sun Apr 30 20:39:42 2023	1682901582	0	14281	14281	86
Sun Apr 30 20:39:41 2023	1682901581	1	14289	14290	86
Sun Apr 30 20:39:41 2023	1682901581	0	14349	14349	88
Sun Apr 30 20:39:41 2023	1682901581	3	14409	14412	143
Sun Apr 30 20:37:15 2023	1682901435	3	14468	14471	147
Sun Apr 30 20:39:41 2023	1682901581	3	14483	14486	132
Sun Apr 30 20:39:41 2023	1682901581	2	14509	14511	204
Sun Apr 30 20:39:41 2023	1682901581	1	14525	14526	170
Sun Apr 30 20:39:41 2023	1682901581	8	14546	14554	149
Sun Apr 30 20:39:41 2023	1682901581	1	14602	14603	117
Sun Apr 30 20:39:41 2023	1682901581	2	14616	14618	105
Sun Apr 30 20:39:41 2023	1682901581	4	14627	14631	139
Sun Apr 30 20:39:41 2023	1682901581	6	14629	14635	88
Sun Apr 30 20:39:41 2023	1682901581	4	14712	14716	167
Sun Apr 30 20:39:41 2023	1682901581	2	14741	14743	170
Sun Apr 30 20:39:41 2023	1682901581	2	14752	14754	162
Sun Apr 30 20:39:41 2023	1682901581	0	14803	14803	130
Sun Apr 30 20:39:41 2023	1682901581	1	14806	14807	114
Sun Apr 30 20:39:41 2023	1682901581	1	14829	14830	105
Sun Apr 30 20:39:41 2023	1682901581	2	14831	14833	158
Sun Apr 30 20:39:41 2023	1682901581	1	14845	14846	158
Sun Apr 30 20:39:41 2023	1682901581	1	14882	14883	88
Sun Apr 30 20:39:41 2023	1682901581	1	14897	14898	153
Sun Apr 30 20:37:15 2023	1682901435	1	14910	14911	98
Sun Apr 30 20:37:15 2023	1682901435	1	14920	14921	154
Sun Apr 30 20:39:41 2023	1682901581	1	14954	14955	83
Sun Apr 30 20:37:15 2023	1682901435	1	14985	14986	96
Sun Apr 30 20:37:15 2023	1682901435	1	15005	15006	136
Sun Apr 30 20:37:15 2023	1682901435	1	15014	15015	100
Sun Apr 30 20:39:40 2023	1682901580	3	15016	15018	295
Sun Apr 30 20:37:15 2023	1682901435	3	15037	15040	141
Sun Apr 30 20:39:40 2023	1682901580	1	15040	15041	105
Sun Apr 30 20:39:40 2023	1682901580	0	15047	15047	334
Sun Apr 30 20:39:41 2023	1682901581	1	15048	15049	265
Sun Apr 30 20:37:15 2023	1682901435	1	15060	15061	77
Sun Apr 30 20:37:15 2023	1682901435	1	15066	15067	186
Sun Apr 30 20:39:41 2023	1682901581	1	15073	15074	198
Sun Apr 30 20:39:40 2023	1682901580	6	15080	15086	318
Sun Apr 30 20:37:15 2023	1682901435	1	15094	15095	81
Sun Apr 30 20:39:40 2023	1682901580	2	15096	15098	149
Sun Apr 30 20:37:15 2023	1682901435	1	15109	15110	121
Sun Apr 30 20:37:15 2023	1682901435	1	15117	15118	84
Sun Apr 30 20:38:52 2023	1682901532	1	15130	15131	84
Sun Apr 30 20:39:40 2023	1682901580	1	15133	15134	282
Sun Apr 30 20:37:15 2023	1682901435	0	15157	15157	267
Sun Apr 30 20:37:15 2023	1682901435	1	15158	15159	112
Sun Apr 30 20:37:15 2023	1682901435	1	15172	15173	85
Sun Apr 30 20:37:15 2023	1682901435	1	15174	15175	95
