starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 21:04:29 2023	1682903069	0	127	127	107
Sun Apr 30 21:04:29 2023	1682903069	1	129	130	111
Sun Apr 30 21:04:29 2023	1682903069	0	131	131	115
Sun Apr 30 21:04:29 2023	1682903069	1	130	131	113
Sun Apr 30 21:04:29 2023	1682903069	1	131	132	119
Sun Apr 30 21:04:29 2023	1682903069	1	131	132	118
Sun Apr 30 21:04:29 2023	1682903069	1	131	132	116
Sun Apr 30 21:04:29 2023	1682903069	1	132	133	121
Sun Apr 30 21:04:29 2023	1682903069	1	133	134	123
Sun Apr 30 21:04:29 2023	1682903069	1	135	136	135
Sun Apr 30 21:04:29 2023	1682903069	1	137	138	133
Sun Apr 30 21:04:29 2023	1682903069	1	137	138	131
Sun Apr 30 21:04:29 2023	1682903069	2	136	138	126
Sun Apr 30 21:04:31 2023	1682903071	1	161	162	148
Sun Apr 30 21:04:31 2023	1682903071	1	161	162	154
Sun Apr 30 21:04:31 2023	1682903071	1	170	171	156
Sun Apr 30 21:04:29 2023	1682903069	2	182	184	48
Sun Apr 30 21:04:30 2023	1682903070	1	188	189	181
Sun Apr 30 21:04:31 2023	1682903071	2	187	189	152
Sun Apr 30 21:04:30 2023	1682903070	1	194	195	184
Sun Apr 30 21:04:31 2023	1682903071	1	202	203	151
Sun Apr 30 21:04:30 2023	1682903070	1	203	204	179
Sun Apr 30 21:04:30 2023	1682903070	0	206	206	174
Sun Apr 30 21:04:31 2023	1682903071	1	206	207	145
Sun Apr 30 21:04:30 2023	1682903070	0	207	207	185
Sun Apr 30 21:04:30 2023	1682903070	1	207	208	177
Sun Apr 30 21:04:30 2023	1682903070	0	208	208	185
Sun Apr 30 21:04:31 2023	1682903071	1	208	209	160
Sun Apr 30 21:04:30 2023	1682903070	2	207	209	187
Sun Apr 30 21:04:31 2023	1682903071	1	209	210	141
Sun Apr 30 21:04:31 2023	1682903071	1	209	210	144
Sun Apr 30 21:04:31 2023	1682903071	0	210	210	150
