starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:48:54 2023	1682902134	3	384	387	279
Sun Apr 30 20:48:55 2023	1682902135	0	504	504	504
Sun Apr 30 20:48:55 2023	1682902135	1	783	784	783
Sun Apr 30 20:48:55 2023	1682902135	0	1098	1098	1096
Sun Apr 30 20:48:55 2023	1682902135	1	1357	1358	1357
Sun Apr 30 20:48:55 2023	1682902135	0	1534	1534	1534
Sun Apr 30 20:48:55 2023	1682902135	0	1904	1904	1903
Sun Apr 30 20:48:55 2023	1682902135	0	2192	2192	2190
Sun Apr 30 20:48:55 2023	1682902135	0	2347	2347	2346
Sun Apr 30 20:48:55 2023	1682902135	1	2707	2708	2707
Sun Apr 30 20:48:55 2023	1682902135	1	2907	2908	2907
Sun Apr 30 20:48:55 2023	1682902135	0	3249	3249	3247
Sun Apr 30 20:48:55 2023	1682902135	0	3466	3466	3466
Sun Apr 30 20:48:55 2023	1682902135	0	3818	3818	3817
Sun Apr 30 20:48:55 2023	1682902135	1	4109	4110	4109
Sun Apr 30 20:48:55 2023	1682902135	1	4312	4313	4312
Sun Apr 30 20:48:55 2023	1682902135	0	4671	4671	4671
Sun Apr 30 20:48:55 2023	1682902135	0	4847	4847	4847
Sun Apr 30 20:48:55 2023	1682902135	1	5163	5164	5162
Sun Apr 30 20:48:55 2023	1682902135	1	5476	5477	5475
Sun Apr 30 20:48:55 2023	1682902135	1	5688	5689	5688
Sun Apr 30 20:48:55 2023	1682902135	2	5945	5947	5944
Sun Apr 30 20:48:55 2023	1682902135	0	6273	6273	6273
Sun Apr 30 20:48:55 2023	1682902135	1	6518	6519	6518
Sun Apr 30 20:48:55 2023	1682902135	1	6765	6766	6765
Sun Apr 30 20:48:55 2023	1682902135	0	7052	7052	7051
Sun Apr 30 20:48:55 2023	1682902135	1	7303	7304	7303
Sun Apr 30 20:48:55 2023	1682902135	1	7619	7620	7619
Sun Apr 30 20:48:55 2023	1682902135	0	7822	7822	7822
Sun Apr 30 20:48:55 2023	1682902135	1	8113	8114	8112
Sun Apr 30 20:48:55 2023	1682902135	1	8355	8356	8354
Sun Apr 30 20:48:55 2023	1682902135	1	8665	8666	8665
Sun Apr 30 20:48:55 2023	1682902135	6	8919	8925	8919
Sun Apr 30 20:48:55 2023	1682902135	1	9218	9219	9218
Sun Apr 30 20:48:55 2023	1682902135	1	9530	9531	9530
Sun Apr 30 20:48:55 2023	1682902135	1	9788	9789	9787
Sun Apr 30 20:48:55 2023	1682902135	1	10078	10079	10078
Sun Apr 30 20:48:55 2023	1682902135	0	10337	10337	10337
Sun Apr 30 20:48:55 2023	1682902135	1	10661	10662	10661
Sun Apr 30 20:48:55 2023	1682902135	1	10903	10904	10903
Sun Apr 30 20:48:55 2023	1682902135	1	11134	11135	11133
Sun Apr 30 20:48:55 2023	1682902135	0	11412	11412	11412
Sun Apr 30 20:48:55 2023	1682902135	0	11662	11662	11662
Sun Apr 30 20:48:55 2023	1682902135	1	11959	11960	11959
Sun Apr 30 20:48:55 2023	1682902135	0	12235	12235	12235
Sun Apr 30 20:48:55 2023	1682902135	1	12525	12526	12525
Sun Apr 30 20:48:55 2023	1682902135	1	12812	12813	12812
Sun Apr 30 20:48:55 2023	1682902135	1	13063	13063	13063
Sun Apr 30 20:48:55 2023	1682902135	0	13372	13372	13371
Sun Apr 30 20:48:55 2023	1682902135	1	13610	13611	13610
Sun Apr 30 20:48:55 2023	1682902135	2	13906	13908	13906
Sun Apr 30 20:48:55 2023	1682902135	2	14154	14156	14153
Sun Apr 30 20:48:55 2023	1682902135	0	14434	14434	14434
Sun Apr 30 20:48:55 2023	1682902135	0	14726	14726	14725
Sun Apr 30 20:48:55 2023	1682902135	0	14997	14997	14996
Sun Apr 30 20:48:55 2023	1682902135	1	15282	15283	15282
Sun Apr 30 20:48:55 2023	1682902135	0	15572	15572	15572
Sun Apr 30 20:48:55 2023	1682902135	1	15829	15830	15829
Sun Apr 30 20:48:55 2023	1682902135	1	16137	16138	16136
Sun Apr 30 20:48:55 2023	1682902135	0	16383	16383	16382
Sun Apr 30 20:48:55 2023	1682902135	0	16646	16646	16646
