starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:45:23 2023	1682901923	1	105	106	95
Sun Apr 30 20:45:23 2023	1682901923	1	111	112	96
Sun Apr 30 20:45:23 2023	1682901923	1	113	114	103
Sun Apr 30 20:45:23 2023	1682901923	1	113	114	98
Sun Apr 30 20:45:23 2023	1682901923	2	113	115	105
Sun Apr 30 20:45:23 2023	1682901923	1	115	116	108
Sun Apr 30 20:45:23 2023	1682901923	1	116	117	110
Sun Apr 30 20:45:23 2023	1682901923	1	117	118	112
Sun Apr 30 20:45:23 2023	1682901923	4	116	120	107
Sun Apr 30 20:45:23 2023	1682901923	2	118	120	114
Sun Apr 30 20:45:23 2023	1682901923	0	124	124	122
Sun Apr 30 20:45:23 2023	1682901923	1	123	124	117
Sun Apr 30 20:45:23 2023	1682901923	1	126	127	102
Sun Apr 30 20:45:23 2023	1682901923	1	129	130	7
Sun Apr 30 20:45:23 2023	1682901923	1	130	131	93
Sun Apr 30 20:45:23 2023	1682901923	1	136	137	129
Sun Apr 30 20:45:23 2023	1682901923	3	136	139	102
Sun Apr 30 20:45:23 2023	1682901923	1	138	139	127
Sun Apr 30 20:45:23 2023	1682901923	0	140	140	100
Sun Apr 30 20:45:23 2023	1682901923	0	143	143	126
Sun Apr 30 20:45:23 2023	1682901923	0	149	149	130
Sun Apr 30 20:45:23 2023	1682901923	1	151	151	140
Sun Apr 30 20:45:23 2023	1682901923	1	150	151	120
Sun Apr 30 20:45:23 2023	1682901923	1	167	168	136
Sun Apr 30 20:45:23 2023	1682901923	1	167	168	151
Sun Apr 30 20:45:23 2023	1682901923	0	168	168	152
Sun Apr 30 20:45:23 2023	1682901923	1	169	170	146
Sun Apr 30 20:45:23 2023	1682901923	1	169	170	157
Sun Apr 30 20:45:23 2023	1682901923	0	227	227	160
Sun Apr 30 20:45:23 2023	1682901923	1	235	236	221
Sun Apr 30 20:45:23 2023	1682901923	0	237	237	217
Sun Apr 30 20:45:23 2023	1682901923	1	237	238	214
Sun Apr 30 20:45:23 2023	1682901923	1	242	243	222
Sun Apr 30 20:45:23 2023	1682901923	0	243	243	224
Sun Apr 30 20:45:23 2023	1682901923	1	246	247	183
Sun Apr 30 20:45:23 2023	1682901923	1	253	254	239
Sun Apr 30 20:45:23 2023	1682901923	1	257	258	176
Sun Apr 30 20:45:23 2023	1682901923	0	259	259	240
Sun Apr 30 20:45:23 2023	1682901923	0	259	259	234
Sun Apr 30 20:45:23 2023	1682901923	1	275	276	250
Sun Apr 30 20:45:23 2023	1682901923	0	282	282	265
Sun Apr 30 20:45:23 2023	1682901923	1	286	287	260
Sun Apr 30 20:45:23 2023	1682901923	1	289	290	276
Sun Apr 30 20:45:23 2023	1682901923	1	292	293	273
Sun Apr 30 20:45:23 2023	1682901923	2	295	296	278
Sun Apr 30 20:45:23 2023	1682901923	1	298	299	284
Sun Apr 30 20:45:23 2023	1682901923	1	306	307	288
Sun Apr 30 20:45:23 2023	1682901923	1	311	312	300
Sun Apr 30 20:45:23 2023	1682901923	1	317	318	304
Sun Apr 30 20:45:23 2023	1682901923	1	320	321	311
Sun Apr 30 20:45:23 2023	1682901923	1	321	322	309
Sun Apr 30 20:45:23 2023	1682901923	1	324	325	313
Sun Apr 30 20:45:23 2023	1682901923	1	325	326	312
Sun Apr 30 20:45:23 2023	1682901923	1	326	327	314
Sun Apr 30 20:45:24 2023	1682901924	1	337	338	327
Sun Apr 30 20:45:23 2023	1682901923	1	337	338	321
Sun Apr 30 20:45:23 2023	1682901923	0	341	341	329
Sun Apr 30 20:45:23 2023	1682901923	0	343	343	329
Sun Apr 30 20:45:23 2023	1682901923	1	344	345	329
Sun Apr 30 20:45:23 2023	1682901923	1	349	350	333
Sun Apr 30 20:45:23 2023	1682901923	1	350	351	336
Sun Apr 30 20:45:23 2023	1682901923	0	355	355	341
Sun Apr 30 20:45:23 2023	1682901923	1	358	359	334
Sun Apr 30 20:45:28 2023	1682901928	0	364	364	353
Sun Apr 30 20:45:28 2023	1682901928	1	363	364	350
Sun Apr 30 20:45:28 2023	1682901928	0	365	365	351
Sun Apr 30 20:45:28 2023	1682901928	0	367	367	353
Sun Apr 30 20:45:28 2023	1682901928	1	366	367	354
Sun Apr 30 20:45:28 2023	1682901928	0	371	371	351
Sun Apr 30 20:45:28 2023	1682901928	1	370	371	354
Sun Apr 30 20:45:23 2023	1682901923	1	372	373	350
Sun Apr 30 20:45:28 2023	1682901928	0	375	375	364
Sun Apr 30 20:45:28 2023	1682901928	0	376	376	364
Sun Apr 30 20:45:28 2023	1682901928	0	376	376	362
Sun Apr 30 20:45:28 2023	1682901928	1	376	377	362
Sun Apr 30 20:45:28 2023	1682901928	1	376	377	358
Sun Apr 30 20:45:28 2023	1682901928	0	377	377	356
Sun Apr 30 20:45:28 2023	1682901928	1	377	378	363
Sun Apr 30 20:45:28 2023	1682901928	0	378	378	364
Sun Apr 30 20:45:28 2023	1682901928	0	378	378	367
Sun Apr 30 20:45:28 2023	1682901928	1	378	379	364
Sun Apr 30 20:45:28 2023	1682901928	0	381	381	363
Sun Apr 30 20:45:28 2023	1682901928	0	381	381	367
Sun Apr 30 20:45:28 2023	1682901928	1	381	382	360
Sun Apr 30 20:45:28 2023	1682901928	1	381	382	364
Sun Apr 30 20:45:28 2023	1682901928	2	381	383	366
Sun Apr 30 20:45:28 2023	1682901928	1	382	383	363
Sun Apr 30 20:45:28 2023	1682901928	1	383	384	361
Sun Apr 30 20:45:28 2023	1682901928	1	384	385	365
Sun Apr 30 20:45:23 2023	1682901923	1	385	386	365
Sun Apr 30 20:45:28 2023	1682901928	1	386	387	367
Sun Apr 30 20:45:28 2023	1682901928	1	386	387	362
Sun Apr 30 20:45:28 2023	1682901928	1	387	388	364
Sun Apr 30 20:45:28 2023	1682901928	1	388	389	371
Sun Apr 30 20:45:28 2023	1682901928	2	387	389	372
Sun Apr 30 20:45:28 2023	1682901928	1	392	393	378
Sun Apr 30 20:45:28 2023	1682901928	1	393	394	376
Sun Apr 30 20:45:28 2023	1682901928	1	394	395	375
Sun Apr 30 20:45:28 2023	1682901928	1	395	396	383
Sun Apr 30 20:45:23 2023	1682901923	1	397	398	379
Sun Apr 30 20:45:28 2023	1682901928	1	398	399	383
Sun Apr 30 20:45:28 2023	1682901928	1	398	399	377
Sun Apr 30 20:45:23 2023	1682901923	1	400	401	369
Sun Apr 30 20:45:24 2023	1682901924	1	401	402	378
Sun Apr 30 20:45:28 2023	1682901928	0	403	403	376
Sun Apr 30 20:45:23 2023	1682901923	1	403	404	387
Sun Apr 30 20:45:23 2023	1682901923	1	405	406	386
Sun Apr 30 20:45:23 2023	1682901923	1	406	407	387
Sun Apr 30 20:45:28 2023	1682901928	1	407	408	393
Sun Apr 30 20:45:23 2023	1682901923	0	409	409	388
Sun Apr 30 20:45:23 2023	1682901923	1	410	411	403
Sun Apr 30 20:45:28 2023	1682901928	1	410	411	397
Sun Apr 30 20:45:28 2023	1682901928	1	413	414	402
Sun Apr 30 20:45:28 2023	1682901928	1	413	414	397
Sun Apr 30 20:45:23 2023	1682901923	1	414	415	406
Sun Apr 30 20:45:28 2023	1682901928	1	414	415	399
Sun Apr 30 20:45:24 2023	1682901924	1	415	416	400
Sun Apr 30 20:45:28 2023	1682901928	0	418	418	405
Sun Apr 30 20:45:23 2023	1682901923	1	418	419	400
Sun Apr 30 20:45:28 2023	1682901928	1	419	420	403
Sun Apr 30 20:45:28 2023	1682901928	1	419	420	401
Sun Apr 30 20:45:24 2023	1682901924	1	420	421	401
Sun Apr 30 20:45:28 2023	1682901928	2	419	421	404
Sun Apr 30 20:45:28 2023	1682901928	1	421	422	408
Sun Apr 30 20:45:28 2023	1682901928	1	421	422	404
Sun Apr 30 20:45:28 2023	1682901928	1	426	427	414
Sun Apr 30 20:45:28 2023	1682901928	1	428	429	407
Sun Apr 30 20:45:28 2023	1682901928	1	428	429	412
Sun Apr 30 20:45:24 2023	1682901924	1	429	430	412
Sun Apr 30 20:45:28 2023	1682901928	1	429	430	415
Sun Apr 30 20:45:28 2023	1682901928	2	428	430	412
Sun Apr 30 20:45:24 2023	1682901924	1	429	430	410
Sun Apr 30 20:45:28 2023	1682901928	1	430	431	416
Sun Apr 30 20:45:24 2023	1682901924	1	432	433	417
Sun Apr 30 20:45:24 2023	1682901924	0	434	434	417
Sun Apr 30 20:45:28 2023	1682901928	1	435	436	416
Sun Apr 30 20:45:28 2023	1682901928	1	436	437	411
Sun Apr 30 20:45:24 2023	1682901924	0	439	439	423
Sun Apr 30 20:45:28 2023	1682901928	1	438	439	422
Sun Apr 30 20:45:24 2023	1682901924	1	440	441	417
Sun Apr 30 20:45:28 2023	1682901928	1	440	441	427
Sun Apr 30 20:45:24 2023	1682901924	1	440	441	424
Sun Apr 30 20:45:28 2023	1682901928	1	442	443	422
Sun Apr 30 20:45:24 2023	1682901924	0	444	444	421
Sun Apr 30 20:45:28 2023	1682901928	1	444	445	423
Sun Apr 30 20:45:28 2023	1682901928	1	445	446	431
Sun Apr 30 20:45:28 2023	1682901928	1	446	447	434
Sun Apr 30 20:45:24 2023	1682901924	1	450	451	426
Sun Apr 30 20:45:28 2023	1682901928	1	450	451	433
Sun Apr 30 20:45:28 2023	1682901928	0	451	451	433
Sun Apr 30 20:45:28 2023	1682901928	1	451	452	438
Sun Apr 30 20:45:24 2023	1682901924	1	452	453	439
Sun Apr 30 20:45:28 2023	1682901928	1	452	453	439
Sun Apr 30 20:45:28 2023	1682901928	1	453	454	437
Sun Apr 30 20:45:28 2023	1682901928	0	455	455	439
Sun Apr 30 20:45:28 2023	1682901928	1	456	457	441
Sun Apr 30 20:45:28 2023	1682901928	1	456	457	442
Sun Apr 30 20:45:24 2023	1682901924	1	457	458	428
Sun Apr 30 20:45:28 2023	1682901928	0	460	460	441
Sun Apr 30 20:45:28 2023	1682901928	1	459	460	440
Sun Apr 30 20:45:28 2023	1682901928	0	462	462	440
Sun Apr 30 20:45:24 2023	1682901924	1	462	463	450
Sun Apr 30 20:45:28 2023	1682901928	0	464	464	447
Sun Apr 30 20:45:24 2023	1682901924	1	466	467	449
Sun Apr 30 20:45:24 2023	1682901924	1	466	467	452
Sun Apr 30 20:45:28 2023	1682901928	1	466	467	450
Sun Apr 30 20:45:28 2023	1682901928	1	467	468	452
Sun Apr 30 20:45:28 2023	1682901928	0	469	469	451
Sun Apr 30 20:45:28 2023	1682901928	1	468	469	455
Sun Apr 30 20:45:23 2023	1682901923	0	469	469	439
Sun Apr 30 20:45:26 2023	1682901926	2	468	470	447
Sun Apr 30 20:45:26 2023	1682901926	1	470	471	444
Sun Apr 30 20:45:27 2023	1682901927	1	471	472	457
Sun Apr 30 20:45:28 2023	1682901928	0	472	472	454
Sun Apr 30 20:45:26 2023	1682901926	0	473	473	459
Sun Apr 30 20:45:28 2023	1682901928	1	472	473	453
Sun Apr 30 20:45:26 2023	1682901926	0	474	474	459
Sun Apr 30 20:45:25 2023	1682901925	1	474	475	457
Sun Apr 30 20:45:26 2023	1682901926	0	476	476	463
Sun Apr 30 20:45:26 2023	1682901926	1	475	476	455
Sun Apr 30 20:45:27 2023	1682901927	2	475	476	457
Sun Apr 30 20:45:26 2023	1682901926	1	475	476	466
Sun Apr 30 20:45:28 2023	1682901928	1	476	477	460
Sun Apr 30 20:45:24 2023	1682901924	0	476	477	463
Sun Apr 30 20:45:26 2023	1682901926	1	476	477	464
Sun Apr 30 20:45:24 2023	1682901924	0	477	477	463
Sun Apr 30 20:45:26 2023	1682901926	1	476	477	456
Sun Apr 30 20:45:26 2023	1682901926	1	476	477	460
Sun Apr 30 20:45:27 2023	1682901927	1	476	477	469
Sun Apr 30 20:45:26 2023	1682901926	1	476	477	463
Sun Apr 30 20:45:27 2023	1682901927	0	478	478	466
Sun Apr 30 20:45:25 2023	1682901925	1	477	478	457
Sun Apr 30 20:45:28 2023	1682901928	1	477	478	462
Sun Apr 30 20:45:26 2023	1682901926	1	477	478	460
Sun Apr 30 20:45:26 2023	1682901926	1	477	478	462
Sun Apr 30 20:45:26 2023	1682901926	0	478	478	459
Sun Apr 30 20:45:25 2023	1682901925	3	475	478	459
Sun Apr 30 20:45:27 2023	1682901927	1	477	478	467
Sun Apr 30 20:45:26 2023	1682901926	1	477	478	465
Sun Apr 30 20:45:26 2023	1682901926	1	477	478	466
Sun Apr 30 20:45:28 2023	1682901928	1	477	478	459
Sun Apr 30 20:45:25 2023	1682901925	1	478	479	471
Sun Apr 30 20:45:25 2023	1682901925	1	479	480	467
Sun Apr 30 20:45:27 2023	1682901927	1	479	480	464
Sun Apr 30 20:45:26 2023	1682901926	2	478	480	455
Sun Apr 30 20:45:28 2023	1682901928	1	479	480	463
Sun Apr 30 20:45:26 2023	1682901926	0	480	480	465
Sun Apr 30 20:45:26 2023	1682901926	1	479	480	459
Sun Apr 30 20:45:24 2023	1682901924	1	479	480	467
Sun Apr 30 20:45:27 2023	1682901927	2	479	481	468
Sun Apr 30 20:45:26 2023	1682901926	1	480	481	467
Sun Apr 30 20:45:26 2023	1682901926	0	480	481	464
Sun Apr 30 20:45:27 2023	1682901927	0	481	481	460
Sun Apr 30 20:45:28 2023	1682901928	1	480	481	468
Sun Apr 30 20:45:26 2023	1682901926	0	481	481	465
Sun Apr 30 20:45:27 2023	1682901927	0	481	481	470
Sun Apr 30 20:45:28 2023	1682901928	1	480	481	464
Sun Apr 30 20:45:28 2023	1682901928	0	481	481	464
Sun Apr 30 20:45:26 2023	1682901926	1	480	481	464
Sun Apr 30 20:45:26 2023	1682901926	1	480	481	465
Sun Apr 30 20:45:26 2023	1682901926	0	481	481	458
Sun Apr 30 20:45:25 2023	1682901925	0	481	481	465
Sun Apr 30 20:45:27 2023	1682901927	2	479	481	465
Sun Apr 30 20:45:26 2023	1682901926	1	480	481	462
Sun Apr 30 20:45:27 2023	1682901927	1	481	482	463
Sun Apr 30 20:45:26 2023	1682901926	1	481	482	469
Sun Apr 30 20:45:27 2023	1682901927	1	481	482	467
Sun Apr 30 20:45:24 2023	1682901924	0	482	482	465
Sun Apr 30 20:45:25 2023	1682901925	2	480	482	466
Sun Apr 30 20:45:27 2023	1682901927	0	482	482	463
Sun Apr 30 20:45:25 2023	1682901925	1	480	482	469
Sun Apr 30 20:45:26 2023	1682901926	1	481	482	474
Sun Apr 30 20:45:26 2023	1682901926	1	481	482	467
Sun Apr 30 20:45:25 2023	1682901925	1	481	482	468
Sun Apr 30 20:45:25 2023	1682901925	1	481	482	480
Sun Apr 30 20:45:26 2023	1682901926	0	482	482	464
Sun Apr 30 20:45:25 2023	1682901925	1	481	482	468
Sun Apr 30 20:45:25 2023	1682901925	0	483	483	473
Sun Apr 30 20:45:27 2023	1682901927	1	482	483	470
Sun Apr 30 20:45:26 2023	1682901926	2	481	483	466
Sun Apr 30 20:45:24 2023	1682901924	1	482	483	466
Sun Apr 30 20:45:26 2023	1682901926	1	483	483	464
Sun Apr 30 20:45:24 2023	1682901924	1	483	484	461
Sun Apr 30 20:45:26 2023	1682901926	1	483	484	464
Sun Apr 30 20:45:26 2023	1682901926	1	483	484	477
Sun Apr 30 20:45:25 2023	1682901925	1	483	484	475
Sun Apr 30 20:45:24 2023	1682901924	0	484	484	464
Sun Apr 30 20:45:27 2023	1682901927	1	483	484	469
Sun Apr 30 20:45:26 2023	1682901926	1	483	484	464
Sun Apr 30 20:45:26 2023	1682901926	1	483	484	461
Sun Apr 30 20:45:26 2023	1682901926	1	483	484	473
Sun Apr 30 20:45:27 2023	1682901927	0	484	484	472
Sun Apr 30 20:45:26 2023	1682901926	1	483	484	474
Sun Apr 30 20:45:27 2023	1682901927	1	484	485	466
Sun Apr 30 20:45:25 2023	1682901925	1	484	485	467
Sun Apr 30 20:45:24 2023	1682901924	0	485	485	463
Sun Apr 30 20:45:26 2023	1682901926	1	484	485	476
Sun Apr 30 20:45:26 2023	1682901926	1	484	485	462
Sun Apr 30 20:45:25 2023	1682901925	1	484	485	463
Sun Apr 30 20:45:26 2023	1682901926	1	484	485	472
Sun Apr 30 20:45:25 2023	1682901925	1	484	485	472
Sun Apr 30 20:45:26 2023	1682901926	1	484	485	471
Sun Apr 30 20:45:28 2023	1682901928	1	484	485	467
Sun Apr 30 20:45:26 2023	1682901926	1	484	485	474
Sun Apr 30 20:45:24 2023	1682901924	1	484	485	464
Sun Apr 30 20:45:24 2023	1682901924	0	485	485	465
Sun Apr 30 20:45:27 2023	1682901927	1	484	485	466
Sun Apr 30 20:45:26 2023	1682901926	1	485	486	463
Sun Apr 30 20:45:27 2023	1682901927	1	485	486	471
Sun Apr 30 20:45:27 2023	1682901927	0	486	486	470
Sun Apr 30 20:45:27 2023	1682901927	1	485	486	471
Sun Apr 30 20:45:24 2023	1682901924	1	485	486	478
Sun Apr 30 20:45:24 2023	1682901924	0	486	486	463
Sun Apr 30 20:45:27 2023	1682901927	1	485	486	469
Sun Apr 30 20:45:26 2023	1682901926	1	485	486	466
Sun Apr 30 20:45:26 2023	1682901926	1	485	486	470
Sun Apr 30 20:45:27 2023	1682901927	4	482	486	474
Sun Apr 30 20:45:27 2023	1682901927	0	486	486	470
Sun Apr 30 20:45:28 2023	1682901928	1	485	486	468
Sun Apr 30 20:45:25 2023	1682901925	1	485	486	468
Sun Apr 30 20:45:26 2023	1682901926	1	486	487	473
Sun Apr 30 20:45:26 2023	1682901926	1	486	487	474
Sun Apr 30 20:45:24 2023	1682901924	1	486	487	466
Sun Apr 30 20:45:27 2023	1682901927	1	486	487	475
Sun Apr 30 20:45:27 2023	1682901927	0	487	487	474
Sun Apr 30 20:45:25 2023	1682901925	1	486	487	468
Sun Apr 30 20:45:24 2023	1682901924	1	486	487	473
Sun Apr 30 20:45:25 2023	1682901925	0	487	487	472
Sun Apr 30 20:45:27 2023	1682901927	0	487	487	475
Sun Apr 30 20:45:27 2023	1682901927	0	487	487	475
Sun Apr 30 20:45:24 2023	1682901924	1	486	487	475
Sun Apr 30 20:45:24 2023	1682901924	1	486	487	477
Sun Apr 30 20:45:24 2023	1682901924	1	486	487	468
Sun Apr 30 20:45:27 2023	1682901927	1	487	488	477
Sun Apr 30 20:45:27 2023	1682901927	0	488	488	477
Sun Apr 30 20:45:28 2023	1682901928	2	486	488	469
Sun Apr 30 20:45:28 2023	1682901928	0	488	488	468
Sun Apr 30 20:45:26 2023	1682901926	1	487	488	463
Sun Apr 30 20:45:27 2023	1682901927	1	487	488	475
Sun Apr 30 20:45:27 2023	1682901927	1	487	488	467
Sun Apr 30 20:45:27 2023	1682901927	1	487	488	470
Sun Apr 30 20:45:24 2023	1682901924	1	487	488	469
Sun Apr 30 20:45:26 2023	1682901926	0	488	488	477
Sun Apr 30 20:45:26 2023	1682901926	0	488	488	462
Sun Apr 30 20:45:27 2023	1682901927	2	486	488	474
Sun Apr 30 20:45:24 2023	1682901924	2	486	488	464
Sun Apr 30 20:45:26 2023	1682901926	1	488	489	477
Sun Apr 30 20:45:26 2023	1682901926	1	488	489	476
Sun Apr 30 20:45:27 2023	1682901927	0	489	489	475
Sun Apr 30 20:45:27 2023	1682901927	1	488	489	471
Sun Apr 30 20:45:24 2023	1682901924	1	488	489	474
Sun Apr 30 20:45:26 2023	1682901926	0	489	489	465
Sun Apr 30 20:45:26 2023	1682901926	0	489	489	478
Sun Apr 30 20:45:25 2023	1682901925	1	488	489	471
Sun Apr 30 20:45:27 2023	1682901927	1	488	489	472
Sun Apr 30 20:45:28 2023	1682901928	1	488	489	468
Sun Apr 30 20:45:24 2023	1682901924	1	488	489	475
Sun Apr 30 20:45:24 2023	1682901924	1	488	489	469
Sun Apr 30 20:45:27 2023	1682901927	1	488	489	472
Sun Apr 30 20:45:26 2023	1682901926	0	489	489	479
Sun Apr 30 20:45:25 2023	1682901925	1	488	489	475
Sun Apr 30 20:45:26 2023	1682901926	1	488	489	470
Sun Apr 30 20:45:24 2023	1682901924	1	488	489	475
Sun Apr 30 20:45:25 2023	1682901925	1	488	489	462
Sun Apr 30 20:45:25 2023	1682901925	1	489	490	482
Sun Apr 30 20:45:25 2023	1682901925	0	490	490	478
Sun Apr 30 20:45:24 2023	1682901924	1	489	490	474
Sun Apr 30 20:45:26 2023	1682901926	0	490	490	464
Sun Apr 30 20:45:25 2023	1682901925	1	489	490	476
Sun Apr 30 20:45:25 2023	1682901925	1	489	490	478
Sun Apr 30 20:45:25 2023	1682901925	1	489	490	475
Sun Apr 30 20:45:26 2023	1682901926	1	489	490	478
Sun Apr 30 20:45:26 2023	1682901926	1	489	490	473
Sun Apr 30 20:45:24 2023	1682901924	0	490	490	480
Sun Apr 30 20:45:26 2023	1682901926	1	489	490	478
Sun Apr 30 20:45:25 2023	1682901925	1	489	490	479
Sun Apr 30 20:45:24 2023	1682901924	1	489	490	477
Sun Apr 30 20:45:27 2023	1682901927	1	489	490	472
