starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 30 20:40:57 2023	1682901657	1	98	99	73
Sun Apr 30 20:40:57 2023	1682901657	1	100	101	76
Sun Apr 30 20:40:57 2023	1682901657	1	100	101	72
Sun Apr 30 20:40:57 2023	1682901657	1	102	103	61
Sun Apr 30 20:40:57 2023	1682901657	0	108	108	69
Sun Apr 30 20:40:57 2023	1682901657	1	108	109	68
Sun Apr 30 20:40:57 2023	1682901657	2	111	113	87
Sun Apr 30 20:40:57 2023	1682901657	1	113	114	90
Sun Apr 30 20:40:57 2023	1682901657	2	113	115	94
Sun Apr 30 20:40:57 2023	1682901657	1	114	115	92
Sun Apr 30 20:40:57 2023	1682901657	0	116	116	96
Sun Apr 30 20:40:57 2023	1682901657	1	116	117	100
Sun Apr 30 20:40:57 2023	1682901657	1	116	117	99
Sun Apr 30 20:40:57 2023	1682901657	1	117	118	100
Sun Apr 30 20:40:57 2023	1682901657	0	118	118	102
Sun Apr 30 20:40:57 2023	1682901657	0	120	120	102
Sun Apr 30 20:40:57 2023	1682901657	1	120	121	97
Sun Apr 30 20:40:57 2023	1682901657	1	120	121	98
Sun Apr 30 20:40:57 2023	1682901657	1	120	121	100
Sun Apr 30 20:40:57 2023	1682901657	1	120	121	101
Sun Apr 30 20:40:57 2023	1682901657	1	120	121	99
Sun Apr 30 20:40:57 2023	1682901657	0	121	121	96
Sun Apr 30 20:40:57 2023	1682901657	0	121	121	97
Sun Apr 30 20:40:57 2023	1682901657	2	119	121	104
Sun Apr 30 20:40:57 2023	1682901657	1	121	122	104
Sun Apr 30 20:40:57 2023	1682901657	1	121	122	121
Sun Apr 30 20:40:57 2023	1682901657	0	123	123	120
Sun Apr 30 20:40:57 2023	1682901657	2	122	123	107
Sun Apr 30 20:40:57 2023	1682901657	1	122	123	109
Sun Apr 30 20:40:57 2023	1682901657	1	124	125	112
Sun Apr 30 20:40:57 2023	1682901657	1	124	125	113
Sun Apr 30 20:40:57 2023	1682901657	3	122	125	108
Sun Apr 30 20:40:57 2023	1682901657	1	126	127	123
Sun Apr 30 20:40:57 2023	1682901657	1	126	127	122
Sun Apr 30 20:40:57 2023	1682901657	0	127	127	119
Sun Apr 30 20:40:57 2023	1682901657	0	127	127	123
Sun Apr 30 20:40:57 2023	1682901657	1	126	127	116
Sun Apr 30 20:40:57 2023	1682901657	1	126	127	117
Sun Apr 30 20:40:57 2023	1682901657	0	128	128	119
Sun Apr 30 20:40:57 2023	1682901657	1	127	128	121
Sun Apr 30 20:40:57 2023	1682901657	1	127	128	120
Sun Apr 30 20:40:57 2023	1682901657	1	127	128	125
Sun Apr 30 20:40:56 2023	1682901656	2	126	128	113
Sun Apr 30 20:40:57 2023	1682901657	0	129	129	126
Sun Apr 30 20:40:57 2023	1682901657	1	128	129	127
Sun Apr 30 20:40:57 2023	1682901657	1	129	130	127
Sun Apr 30 20:40:56 2023	1682901656	2	128	130	117
Sun Apr 30 20:40:57 2023	1682901657	1	131	132	128
Sun Apr 30 20:40:56 2023	1682901656	2	131	133	121
Sun Apr 30 20:40:56 2023	1682901656	3	134	137	124
Sun Apr 30 20:40:56 2023	1682901656	1	136	137	130
Sun Apr 30 20:40:56 2023	1682901656	1	136	137	129
Sun Apr 30 20:40:56 2023	1682901656	1	139	140	132
Sun Apr 30 20:40:59 2023	1682901659	1	143	144	143
Sun Apr 30 20:40:56 2023	1682901656	4	141	145	137
Sun Apr 30 20:40:58 2023	1682901658	0	146	146	146
Sun Apr 30 20:40:59 2023	1682901659	1	145	146	137
Sun Apr 30 20:40:56 2023	1682901656	0	146	146	142
Sun Apr 30 20:40:58 2023	1682901658	1	146	147	144
Sun Apr 30 20:40:56 2023	1682901656	1	146	147	144
Sun Apr 30 20:40:58 2023	1682901658	1	147	148	125
Sun Apr 30 20:40:58 2023	1682901658	1	147	148	122
Sun Apr 30 20:40:58 2023	1682901658	1	147	148	141
Sun Apr 30 20:40:58 2023	1682901658	1	147	148	143
Sun Apr 30 20:40:58 2023	1682901658	1	148	149	124
Sun Apr 30 20:40:59 2023	1682901659	1	148	149	148
Sun Apr 30 20:40:58 2023	1682901658	1	148	149	140
Sun Apr 30 20:40:58 2023	1682901658	1	148	149	139
Sun Apr 30 20:40:58 2023	1682901658	0	150	150	130
Sun Apr 30 20:40:58 2023	1682901658	2	148	150	127
Sun Apr 30 20:40:58 2023	1682901658	1	149	150	129
Sun Apr 30 20:40:58 2023	1682901658	1	149	150	132
Sun Apr 30 20:40:58 2023	1682901658	0	150	150	134
Sun Apr 30 20:40:58 2023	1682901658	1	149	150	138
Sun Apr 30 20:40:58 2023	1682901658	1	149	150	108
Sun Apr 30 20:40:58 2023	1682901658	1	149	150	135
Sun Apr 30 20:40:58 2023	1682901658	1	150	151	136
Sun Apr 30 20:40:59 2023	1682901659	1	150	151	150
Sun Apr 30 20:40:57 2023	1682901657	1	152	153	151
Sun Apr 30 20:40:59 2023	1682901659	1	152	153	151
Sun Apr 30 20:40:56 2023	1682901656	2	152	154	6
Sun Apr 30 20:40:58 2023	1682901658	1	164	165	125
Sun Apr 30 20:40:59 2023	1682901659	1	168	169	167
Sun Apr 30 20:40:59 2023	1682901659	0	169	169	168
Sun Apr 30 20:40:58 2023	1682901658	1	170	171	136
Sun Apr 30 20:40:59 2023	1682901659	1	170	171	170
Sun Apr 30 20:40:58 2023	1682901658	1	171	172	138
Sun Apr 30 20:40:58 2023	1682901658	0	172	172	134
Sun Apr 30 20:40:58 2023	1682901658	1	171	172	135
Sun Apr 30 20:40:58 2023	1682901658	1	171	172	139
Sun Apr 30 20:40:58 2023	1682901658	1	171	172	141
Sun Apr 30 20:40:58 2023	1682901658	0	174	174	117
Sun Apr 30 20:40:59 2023	1682901659	2	173	175	173
Sun Apr 30 20:40:58 2023	1682901658	2	174	176	173
Sun Apr 30 20:40:58 2023	1682901658	1	176	177	119
Sun Apr 30 20:40:58 2023	1682901658	2	176	178	122
Sun Apr 30 20:40:59 2023	1682901659	1	177	178	176
Sun Apr 30 20:40:58 2023	1682901658	1	178	179	125
Sun Apr 30 20:40:58 2023	1682901658	1	179	180	127
Sun Apr 30 20:40:58 2023	1682901658	0	185	185	133
Sun Apr 30 20:40:59 2023	1682901659	0	188	188	181
Sun Apr 30 20:40:58 2023	1682901658	0	188	188	173
Sun Apr 30 20:40:58 2023	1682901658	1	187	188	172
Sun Apr 30 20:40:58 2023	1682901658	2	187	189	138
Sun Apr 30 20:40:58 2023	1682901658	0	189	189	141
Sun Apr 30 20:40:58 2023	1682901658	1	191	192	177
Sun Apr 30 20:40:57 2023	1682901657	1	192	193	192
Sun Apr 30 20:40:57 2023	1682901657	1	193	194	191
Sun Apr 30 20:40:57 2023	1682901657	2	194	196	193
